Console,Game_Name,Review,Score
PC,Sonic Mania Plus  - Encore! Encore!,Superb,9
PC,Rainbow Skies : Rainbow in the Dark,Mediocre,5
PC,The Crew 2  - On The Road Again,Great,8
PC,Wolfenstein 2: The New Colossus Nintendo Switch,Great,8
PC,Wreckfest : Crashing The Party,Superb,9
PC,Lumines Remastered: Groove Is In The Heart,Great,8
PC,Crash Bandicoot N Sane Trilogy : Marsupial Makeover,Fair,6
PC,Mario Tennis Aces : Aim High,Good,7
PC,Nier: Automata,Superb,9
PC,The Awesome Adventures Of Captain Spirit - Mind Over Matter,Great,8
PC,Jurassic World Evolution : Life Finds A Way,Good,7
PC,Unravel 2 : Partners In Twine,Great,8
PC,Moonlighter : Open For Business,Good,7
PC,Sushi Striker: The Way Of Sushido  - Cartoon Cuisine Combat,Good,7
PC,"West Of Loathing : Wild, Wild West",Great,8
PC,BlazBlue: Cross Tag Battle  - The Tag Team Dream,Superb,9
PC,Onrush : Push It To The Limit,Superb,9
PC,Golem : Hidden In Plain Sight,Mediocre,5
PC,Vampyr : The City That Never Sleeps,Good,7
PC,Yoku’s Island Express : A Breath of Fresh Air,Superb,9
PC,Dillon's Dead-Heat Breakers : Running On Fumes,Fair,6
PC,The Forest : Are You Afraid Of The Dark?,Great,8
